gid	parA_rep1	parA_rep2	parA_rep3	parB_rep1	parB_rep2	parB_rep3	hybA_rep1	hybA_rep2	hybA_rep3	hybB_rep1	hybB_rep2	hybB_rep3
Zm00001d002371	2545	2255	2267	2720	2318	2472	122	92	131	119	60	106
Zm00001d002377	2000	1116	1318	800	1002	880	37	23	32	21	17	20
Zm00001d002382	702	600	819	713	702	806	29	20	22	12	6	14
Zm00001d002383	7	6	9	74	104	110	6	1	6	23	9	10
Zm00001d002396	1289	554	692	1135	1042	1106	16	3	18	27	5	16
Zm00001d002462	2005	1243	2054	1939	1903	2082	182	155	182	66	62	53
Zm00001d002485	4371	6021	4515	6690	4425	4576	523	682	501	98	105	102
Zm00001d002690	23954	41292	25360	4394	4930	4329	1863	704	1246	222	89	186
Zm00001d002694	540	448	546	544	668	549	31	14	22	24	20	19
Zm00001d002695	1761	2725	2924	870	1151	1204	295	285	192	59	52	49
Zm00001d002703	1772	1865	1717	2263	1659	1795	27	24	11	16	20	11
Zm00001d002704	7717	8381	7182	5607	5629	5079	378	223	109	109	85	10
Zm00001d002708	521	556	704	342	713	662	30	19	8	26	16	9
Zm00001d002711	811	653	921	533	729	638	239	251	238	206	137	160
Zm00001d002713	327	212	197	454	502	492	19	28	43	43	34	50
Zm00001d002718	826	666	608	583	924	881	95	58	62	94	72	72
Zm00001d002725	1335	1902	1537	1169	1488	1442	328	265	251	157	142	114
Zm00001d002727	245	273	305	198	280	347	43	26	36	47	26	25
Zm00001d002730	210	137	169	112	179	131	8	3	11	7	6	9
Zm00001d002733	80	129	126	943	580	682	54	31	28	53	31	34
Zm00001d002734	937	522	584	732	748	751	130	120	138	175	129	180
Zm00001d002737	2691	2167	1844	1431	1494	1368	28	27	25	16	11	12
Zm00001d002739	2115	1503	1666	1081	1284	1266	170	148	185	98	73	110
Zm00001d002742	771	592	806	577	709	710	44	41	58	32	39	24
Zm00001d002751	459	393	590	286	384	356	77	53	39	42	25	18
Zm00001d002758	607	508	661	326	639	474	9	11	19	2	3	4
Zm00001d002759	1247	664	1648	1687	1903	1961	118	71	25	33	50	17
Zm00001d002768	14336	3611	842	66	332	60	101	20	532	92	20	490
Zm00001d002801	5040	3516	4297	3009	2299	2850	714	444	566	361	249	287
Zm00001d002811	2438	2004	2418	1888	2071	2132	178	185	181	85	100	107
Zm00001d002812	584	330	469	252	540	327	21	37	11	10	22	18
Zm00001d002819	721	609	706	622	727	695	79	38	39	87	53	59
Zm00001d002827	817	488	769	629	842	713	106	61	103	51	39	63
Zm00001d002837	728	647	1007	319	433	347	57	98	82	29	21	41
Zm00001d002842	8867	8995	12618	6750	9916	9068	999	844	1008	370	355	417
Zm00001d002850	1334	4545	3250	2863	2735	2453	246	178	116	57	47	27
Zm00001d002851	620	439	764	904	1196	1092	90	44	35	42	30	33
Zm00001d002853	1581	1871	2479	2520	3256	3027	418	431	268	353	384	245
Zm00001d002854	1406	1371	1481	930	1142	992	175	128	121	88	80	72
Zm00001d002856	229	207	187	181	183	117	14	10	8	13	5	3
Zm00001d002857	1131	969	959	1454	1346	1300	79	38	50	82	35	50
Zm00001d002859	1329	936	873	943	998	1053	51	38	47	34	39	34
Zm00001d002868	238	254	202	220	210	183	24	30	10	11	16	5
Zm00001d002871	2490	3588	3714	4600	5776	4794	230	192	227	221	177	185
Zm00001d002896	3014	2102	2669	2655	1858	2437	207	162	140	119	125	107
Zm00001d002905	1926	2391	2127	2051	1488	1833	21	36	22	14	13	8
Zm00001d002919	1562	1463	1534	1002	1119	1136	26	37	27	22	23	26
Zm00001d002936	4956	2845	3376	2775	3316	3200	203	198	213	202	171	176
Zm00001d002941	3569	4379	4383	3227	4349	3823	489	479	450	351	401	305
Zm00001d002942	4189	3043	3832	3427	3892	3537	1319	1964	1639	436	420	401
Zm00001d002943	7602	12434	10125	9895	12339	11069	287	346	296	227	238	222
Zm00001d002944	5021	4153	4624	4587	5200	5087	28	29	29	13	18	10
Zm00001d002945	4264	4937	4983	3110	3843	3492	271	196	212	130	110	48
Zm00001d002946	1873	1332	1564	1184	1650	1435	58	86	75	46	46	39
Zm00001d002953	1226	541	560	467	591	499	78	70	178	72	64	99
Zm00001d002954	223	271	228	252	230	240	55	10	25	78	26	28
Zm00001d002956	275	176	342	128	275	214	17	6	14	12	4	13
Zm00001d002961	351	340	432	344	364	378	49	69	51	30	29	46
Zm00001d002962	905	665	1022	640	1018	858	13	5	9	6	7	8
Zm00001d002966	818	479	1018	373	326	339	88	73	52	19	15	10
Zm00001d002967	565	589	636	838	753	754	94	87	92	64	56	46
Zm00001d002969	958	430	484	322	454	368	26	47	55	16	16	13
Zm00001d002980	1192	1245	1224	664	930	793	122	94	92	48	49	40
Zm00001d002992	931	1174	765	244	283	213	20	14	20	10	9	15
Zm00001d003002	274	136	180	676	502	587	7	4	15	23	9	14
Zm00001d003009	247	132	335	94	527	271	7	7	4	5	6	6
Zm00001d003014	1730	1386	1608	1252	1583	1395	189	222	193	210	229	245
Zm00001d003015	112	515	132	5201	1991	1960	35	9	10	177	47	55
Zm00001d003016	5637	11153	6566	22971	16180	16436	181	237	151	273	387	229
Zm00001d003017	748	480	691	649	521	429	36	16	19	31	32	35
Zm00001d003031	2806	1841	2245	2123	2485	2197	495	526	606	396	451	533
Zm00001d003034	470	268	364	408	496	503	69	44	89	71	56	62
Zm00001d003035	173	154	120	1641	1373	1128	165	20	4	147	33	6
Zm00001d003040	1271	577	851	445	1084	642	51	50	87	50	45	55
Zm00001d003044	52	195	325	1145	519	341	30	19	49	59	55	133
Zm00001d003047	332	174	185	288	265	235	7	13	38	12	10	24
Zm00001d003049	1037	822	1102	959	1292	1181	51	67	50	41	54	31
Zm00001d003052	1288	1190	1578	1001	638	800	92	84	54	40	38	28
Zm00001d003058	1316	294	208	662	934	741	55	62	216	244	220	370
Zm00001d003064	355	709	650	535	279	390	85	35	54	90	31	23
Zm00001d003081	8944	7757	8389	10190	11260	10639	152	175	173	122	147	141
Zm00001d003084	2225	1643	1557	1080	1391	1123	12	18	21	15	13	13
Zm00001d003087	3573	2311	3340	2800	2893	3099	232	269	274	241	240	252
Zm00001d003108	2961	1748	3059	1619	2461	2098	187	170	225	176	123	222
Zm00001d003112	1987	1119	1897	1298	1650	1614	154	112	187	139	104	188
Zm00001d003114	653	961	1093	2534	730	1185	127	36	24	53	18	13
Zm00001d003116	1466	1236	1709	787	612	615	109	116	62	63	69	31
Zm00001d003119	2399	1998	2204	1991	1946	2105	154	124	118	139	121	120
Zm00001d003123	1484	492	705	593	793	659	46	45	90	41	32	54
Zm00001d003127	12549	7580	8055	6718	7655	6257	19	22	24	31	33	39
Zm00001d003129	1370	2926	1609	1808	1495	1603	177	120	71	84	76	48
Zm00001d003147	5617	5136	3636	3232	2963	2954	564	749	991	750	839	893
Zm00001d003148	597	556	745	666	708	732	157	155	105	210	211	154
Zm00001d003157	71220	65872	53669	170133	116208	136751	6635	6105	5653	7005	6515	4985
Zm00001d003159	2279	2584	2550	1795	2084	1822	520	713	545	359	417	349
Zm00001d003176	1247	1052	1226	718	922	932	23	22	37	19	10	27
Zm00001d003179	731	548	656	509	715	588	51	44	50	47	61	64
Zm00001d003180	560	372	442	276	406	397	33	38	42	23	40	51
Zm00001d003181	3880	4010	5439	8109	9391	9657	292	320	231	295	315	272
Zm00001d003193	1536	1187	2071	467	830	842	113	59	85	68	56	88
Zm00001d003196	415	258	476	296	368	314	80	48	38	41	43	28
Zm00001d003197	837	404	994	877	293	1094	84	15	35	27	5	18
Zm00001d003198	1580	802	1171	974	1123	1035	74	70	159	53	62	89
Zm00001d003200	1457	1278	1493	2044	1248	1447	164	66	40	59	47	22
Zm00001d003203	2530	1142	2042	1277	1692	1475	77	65	108	50	52	43
Zm00001d003207	1716	1538	1837	1565	1620	1686	121	98	99	90	73	73
Zm00001d003213	366	219	343	251	270	324	23	12	19	20	18	12
Zm00001d003214	1451	807	1260	603	697	625	139	83	120	73	35	59
Zm00001d003228	695	525	898	2714	1820	2697	186	118	69	181	118	81
Zm00001d003242	1793	1179	1154	1152	1463	1246	79	80	130	86	65	86
Zm00001d003246	418	303	434	402	504	506	54	33	37	37	25	22
Zm00001d003247	514	257	248	384	184	356	18	7	24	39	3	68
Zm00001d003248	293	166	161	423	421	433	13	29	47	45	36	61
Zm00001d003250	805	634	885	1278	1021	1131	127	147	90	78	75	52
Zm00001d003252	6765	9503	11549	3529	4477	4123	668	912	425	265	347	167
Zm00001d003254	1491	1413	1234	481	609	485	132	210	239	67	84	89
Zm00001d003256	1599	1799	1458	1091	1219	1215	110	92	59	76	72	50
Zm00001d003259	2408	1583	2053	1045	1200	1020	57	70	61	36	27	40
Zm00001d003262	1752	1227	1549	781	626	687	92	79	129	51	57	48
Zm00001d003265	7295	4756	5443	4944	6072	5277	851	977	711	985	811	1486
Zm00001d003268	1057	765	886	872	1103	928	203	203	140	236	291	296
Zm00001d003271	1256	1187	1690	3235	3802	3325	640	154	352	1065	574	632
Zm00001d003283	2501	4060	2300	5408	2920	4477	141	135	60	218	214	114
Zm00001d003284	1506	1042	949	862	1016	787	38	35	39	43	36	88
Zm00001d003288	4108	3221	2750	4559	2602	3574	448	286	255	317	285	490
Zm00001d003291	1281	701	879	428	607	501	53	63	38	31	37	59
Zm00001d003302	1036	745	960	711	824	766	69	52	89	64	37	99
Zm00001d003306	110	800	1131	1668	508	529	35	54	92	13	20	47
Zm00001d003311	8895	3196	5808	825	2317	1348	759	759	1007	236	269	313
Zm00001d003328	873	732	658	635	729	634	6	9	11	6	3	4
Zm00001d003329	1708	1230	1591	1574	1596	1610	60	42	57	47	43	52
Zm00001d003333	2231	1546	1553	1542	1466	1753	29	25	31	27	12	25
Zm00001d003345	660	427	437	464	510	409	7	14	10	8	7	7
Zm00001d003347	750	766	914	384	367	344	62	55	31	36	23	27
Zm00001d003352	1060	1321	1483	1083	1218	1256	36	39	33	51	35	14
Zm00001d003369	1537	1290	1238	603	967	947	113	77	95	120	91	147
Zm00001d003372	981	440	648	1151	1152	1065	94	68	72	174	156	230
Zm00001d003376	512	416	533	377	521	431	31	26	19	23	22	26
Zm00001d003378	1096	368	574	147	179	150	19	20	64	18	10	57
