gid	prop.p	prop.h	reg
Zm00001d001771	0.38353076379066475	0.5579029733959311	cis+trans
Zm00001d001797	0.5710031639679881	0.5256064690026955	trans
Zm00001d001813	0.5064280312578775	0.5479041916167664	unexpected
Zm00001d001844	0.48441082072443836	0.5925925925925926	trans
Zm00001d001859	0.5937459283387623	0.5865384615384616	cis
Zm00001d001973	0.26440489432703	0.48765803732691143	trans
Zm00001d002334	0.5414338701347482	0.5847680186752262	cis+trans
Zm00001d002353	0.4626946200092493	0.6105640107430618	cis+trans
Zm00001d002396	0.4357167411481609	0.43529411764705883	cis
Zm00001d002708	0.5091480846197827	0.5277777777777778	conserved
Zm00001d002734	0.4780065512400562	0.44495412844036697	cis+trans
Zm00001d002801	0.6117271905192518	0.6577642121327737	cis+trans
Zm00001d002851	0.36350947158524427	0.6167883211678832	cis+trans
Zm00001d002896	0.5283338988802172	0.5918604651162791	cis+trans
Zm00001d002945	0.5759064517438792	0.702171664943123	cis+trans
Zm00001d002967	0.4328899637243047	0.6218678815489749	cis+trans
Zm00001d003016	0.2958590375334102	0.3902606310013717	cis+trans
Zm00001d003049	0.4631628343500704	0.5714285714285714	cis+trans
Zm00001d003112	0.5230527966544695	0.5124434389140272	cis
Zm00001d003148	0.4740259740259741	0.4203629032258065	cis+trans
Zm00001d003196	0.5401974612129761	0.5971223021582733	cis+trans
Zm00001d003228	0.22654829393518022	0.4953519256308101	trans
Zm00001d003256	0.5794057988306884	0.5686274509803921	cis
Zm00001d003288	0.4842413759969251	0.47525228255646323	cis
Zm00001d003345	0.5242518059855521	0.5849056603773585	cis
Zm00001d003381	0.29864472410454984	0.6934306569343065	cis+trans
Zm00001d003414	0.5124755662872255	0.4650677789363921	cis+trans
Zm00001d003446	0.37902403495994175	0.3919652551574376	cis
Zm00001d003495	0.7965451055662188	0.4078590785907859	cis+trans
Zm00001d003525	0.6475155279503105	0.49756097560975604	trans
Zm00001d003593	0.8643724696356275	0.6216216216216216	cis+trans
Zm00001d003649	0.31246006389776354	0.4444444444444444	trans
Zm00001d003660	0.7880386983289358	0.836	cis+trans
Zm00001d003678	0.3634651600753296	0.23188405797101447	cis+trans
Zm00001d003719	0.3766066838046273	0.5319148936170213	trans
Zm00001d003781	0.6322378716744913	0.6076923076923078	cis
Zm00001d003836	0.5627274933268624	0.7445652173913043	cis+trans
Zm00001d003864	0.42900997697620874	0.4219409282700422	cis
Zm00001d003896	0.6048162056016813	0.43818897637795273	cis+trans
Zm00001d003958	0.45632364037378836	0.45188794153471373	cis
Zm00001d004086	0.43565615462868773	0.41481481481481486	cis
Zm00001d004139	0.5831943812844222	0.5354166666666667	cis+trans
Zm00001d004172	0.543305785123967	0.6246600181323663	cis+trans
Zm00001d004383	0.5828070890201671	0.5581395348837209	cis
Zm00001d004463	0.4774047772756617	0.5201511335012595	trans
Zm00001d004517	0.5309012875536481	0.6666666666666667	cis+trans
Zm00001d004568	0.5165174938974776	0.662962962962963	cis+trans
Zm00001d004768	0.43756803831918134	0.4713375796178344	trans
Zm00001d004868	0.35574229691876746	0.32608695652173914	cis
Zm00001d004931	0.5915265078827557	0.7751937984496124	cis+trans
Zm00001d004977	0.7815126050420168	0.5714285714285715	trans
Zm00001d005006	0.4110580473634976	0.42542955326460485	cis+trans
Zm00001d005030	0.8825214899713467	0.75	cis+trans
Zm00001d005080	0.4878353087960075	0.5189873417721519	conserved
Zm00001d005108	0.518712097031599	0.47904191616766467	trans
Zm00001d005164	0.657251161653216	0.6968911917098445	cis+trans
Zm00001d005241	0.4810708062727705	0.6074600355239786	cis+trans
Zm00001d005297	0.6325088339222615	0.48523206751054854	trans
Zm00001d005393	0.4466943403867571	0.43704891740176427	cis
Zm00001d005431	0.20898685883849089	0.35294117647058826	cis+trans
Zm00001d005473	0.6184121239538566	0.717948717948718	cis+trans
Zm00001d005507	0.5026011253848603	0.425531914893617	unexpected
Zm00001d005558	0.56897750985393	0.4463276836158192	cis+trans
Zm00001d005616	0.6260954235637779	0.38709677419354843	cis+trans
Zm00001d005653	0.4995059288537549	0.5559006211180124	unexpected
Zm00001d005687	0.4966020639315379	0.35000000000000003	unexpected
Zm00001d005736	0.71047197640118	0.7198177676537586	cis
Zm00001d005762	0.538913362701909	0.672782874617737	cis+trans
Zm00001d005808	0.5590740336317973	0.6830357142857142	cis+trans
Zm00001d005831	0.4319665271966528	0.4759358288770054	trans
Zm00001d005866	0.64413466596528135	0.542825361512792	cis+trans
Zm00001d005920	0.8243405275779376	0.6106870229007633	cis+trans
Zm00001d005969	0.36059045933553213	0.6985446985446985	cis+trans
Zm00001d006001	0.5639795265515035	0.6194852941176471	cis+trans
Zm00001d006061	0.8139846102375377	0.8267716535433071	cis
Zm00001d006089	0.6528218910334718	0.5365853658536586	trans
Zm00001d006109	0.454664570230608	0.6580310880829014	cis+trans
Zm00001d006130	0.35439560439560436	0.527027027027027	trans
Zm00001d006162	0.28407224958949095	0.26760563380281693	cis
Zm00001d006185	0.5333386664533418	0.6165320074580485	cis+trans
Zm00001d006217	0.327299234600899	0.46943231441048033	trans
Zm00001d006274	0.4704418170504044	0.5819672131147541	cis+trans
Zm00001d006322	0.4749093107617896	0.6351351351351352	cis+trans
Zm00001d006344	0.5654332288842728	0.7338709677419355	cis+trans
Zm00001d006361	0.6739198010568853	0.7773279352226721	cis+trans
Zm00001d006401	0.5419269976981256	0.4591836734693877	trans
Zm00001d006438	0.4977499678566837	0.578544061302682	unexpected
Zm00001d006460	0.4072992700729927	0.4666666666666667	trans
Zm00001d006493	0.29521188250367764	0.5709923664122137	cis+trans
Zm00001d006510	0.563287522930262	0.5182520650146549	cis+trans
Zm00001d006552	0.5	0.4043062200956938	unexpected
Zm00001d006595	0.5822607722439843	0.7515151515151516	cis+trans
Zm00001d006621	0.3778801843317972	0.7752808988764045	cis+trans
Zm00001d006645	0.5547487656113854	0.6650406504065041	cis+trans
Zm00001d006679	0.46734012498929883	0.6379853095487933	cis+trans
Zm00001d006705	0.5741265344664778	0.6666666666666666	cis
Zm00001d006731	0.522944256236526	0.5978260869565217	cis+trans
Zm00001d006759	0.42042042042042044	0.5747915644923982	cis+trans
Zm00001d006790	0.513800153335037	0.5479384003974168	cis+trans
Zm00001d006822	0.5019075879610004	0.5675675675675677	conserved
Zm00001d006845	0.5821917808219178	0.5510204081632653	cis
Zm00001d006868	0.46546531216499054	0.5991167811579982	cis+trans
Zm00001d006904	0.4167269221499157	0.31441048034934493	cis+trans
Zm00001d006928	0.5730585204269414	0.4425675675675676	cis+trans
Zm00001d007012	0.7892129884424877	0.4175438596491228	cis+trans
Zm00001d007039	0.5408765930991607	0.6700507614213198	cis+trans
Zm00001d007060	0.4608753315649868	0.36129032258064514	cis+trans
Zm00001d007077	0.5931254996003198	0.4968553459119497	trans
Zm00001d007117	0.37643932683790965	0.6764044943820225	cis+trans
Zm00001d007144	0.4994577006507592	0.4473684210526316	unexpected
Zm00001d007274	0.5384615384615384	0.5950413223140496	cis
Zm00001d007474	0.52	0.34782608695652173	cis+trans
Zm00001d007503	0.45315315315315313	0.33333333333333337	cis+trans
Zm00001d007600	0.4977753058954394	0.5337579617834395	unexpected
Zm00001d007675	0.46734429065743943	0.4666666666666667	cis
Zm00001d007719	0.5042376367974986	0.5774225774225774	unexpected
Zm00001d007769	0.511642032800162	0.5341463414634147	cis
Zm00001d007802	0.45894507884719954	0.49906716417910446	trans
Zm00001d007826	0.5412555112324166	0.4832	trans
Zm00001d007865	0.39320267408545445	0.6540508574807805	cis+trans
Zm00001d007890	0.5483827432633047	0.5218855218855218	trans
Zm00001d007902	0.4742404227212682	0.52046783625731	trans
Zm00001d007978	0.6025824964131995	0.4630434782608696	cis+trans
Zm00001d008215	0.540094641258473	0.41975308641975306	cis+trans
Zm00001d008237	0.49045643153526974	0.4050632911392405	unexpected
Zm00001d008250	0.28882695718267043	0.5172413793103448	trans
Zm00001d008345	0.4807092526279311	0.5567375886524822	cis+trans
Zm00001d008379	0.541429161503511	0.6081830790568655	cis+trans
Zm00001d008405	0.5026362038664324	0.5227272727272727	conserved
Zm00001d008429	0.5039935587761675	0.4523809523809524	conserved
Zm00001d008493	0.4098360655737705	0.4154929577464789	cis
Zm00001d008520	0.580217040621792	0.6075949367088607	cis
Zm00001d008559	0.6238053866203301	0.4811320754716982	trans
Zm00001d008594	0.6571965018034488	0.7132239876986162	cis+trans
Zm00001d008640	0.5307767464582316	0.5808823529411765	cis+trans
Zm00001d008666	0.6098718557190318	0.6319444444444444	cis
Zm00001d008716	0.6339381003201708	0.6166666666666667	cis
Zm00001d008737	0.3682225365393682	0.8080808080808081	cis+trans
Zm00001d008762	0.5586042658935598	0.6983606557377049	cis+trans
Zm00001d008812	0.5038898862956314	0.5403726708074533	conserved
Zm00001d008849	0.5739130434782609	0.6255506607929515	cis+trans
Zm00001d008874	0.3956141462796299	0.5056818181818181	trans
Zm00001d008904	0.5677728908436626	0.5	trans
Zm00001d008930	0.5662770455110668	0.6055363321799307	cis
Zm00001d008977	0.49465831644870145	0.5304114490161002	unexpected
Zm00001d009014	0.5324578790882061	0.6025236593059937	cis+trans
Zm00001d009083	0.47697031729785055	0.5931558935361217	cis+trans
Zm00001d009131	0.5140134529147982	0.5	conserved
