gid	parA_rep1	parA_rep2	parA_rep3	parB_rep1	parB_rep2	parB_rep3	hybA_rep1	hybA_rep2	hybA_rep3	hybB_rep1	hybB_rep2	hybB_rep3
Zm00001d003254	912	1089	747	551	671	633	170	144	238	73	96	92
Zm00001d003256	1728	1816	1477	1177	1195	1234	123	103	136	126	107	108
Zm00001d003259	1834	1792	1589	646	557	502	51	61	31	15	21	21
Zm00001d003262	1333	1457	1395	390	380	570	36	43	71	21	25	43
Zm00001d003265	4681	6389	4087	3437	3864	4335	638	859	709	679	866	878
Zm00001d003268	789	861	621	591	602	540	154	204	144	178	226	132
Zm00001d003271	729	405	599	162	179	180	13	19	21	13	39	44
Zm00001d003275	302	451	268	290	404	465	8	21	19	8	18	28
Zm00001d003276	131	135	100	447	389	455	8	14	14	8	15	22
Zm00001d003284	813	967	745	789	922	856	29	42	38	22	28	27
Zm00001d003288	1394	2124	1146	1279	1212	1511	192	189	124	159	167	152
Zm00001d003291	992	1267	885	449	371	379	52	65	88	20	28	29
Zm00001d003301	70	171	87	679	594	612	6	6	11	26	36	54
Zm00001d003302	763	836	631	575	589	551	52	60	35	39	53	34
Zm00001d003306	9566	5224	9128	6934	9042	8570	2438	2448	2541	1188	1213	1298
Zm00001d003310	2052	2971	2278	584	285	305	329	418	363	62	97	51
Zm00001d003311	5062	3750	5427	2659	1907	1471	222	372	358	94	141	136
Zm00001d003329	1345	1364	1212	1210	1182	1073	54	42	51	35	34	42
Zm00001d003331	37	94	57	646	218	178	11	2	1	50	21	13
Zm00001d003333	1598	1360	1368	1408	1536	1449	32	19	25	12	22	20
Zm00001d003352	1160	957	926	601	533	524	30	15	14	20	15	13
Zm00001d003369	569	877	393	207	187	179	36	28	31	25	28	14
Zm00001d003372	300	410	233	324	260	227	26	35	31	49	75	72
Zm00001d003373	277	218	216	348	223	193	17	29	18	28	34	36
Zm00001d003376	319	443	299	243	295	244	6	10	14	3	11	13
Zm00001d003378	910	847	706	117	92	113	16	17	38	5	4	13
Zm00001d003379	1001	2566	2201	2253	364	784	836	757	294	1221	1184	432
Zm00001d003381	157	242	191	217	197	335	10	11	8	3	2	4
Zm00001d003393	1000	1141	1076	1062	1229	1407	39	58	54	23	18	22
Zm00001d003394	1675	2363	1492	1395	1541	1722	95	100	76	71	101	101
Zm00001d003395	1011	856	793	1063	811	1048	247	277	244	121	148	116
Zm00001d003399	1576	3286	1383	506	278	436	64	57	21	35	38	25
Zm00001d003401	14200	13867	12188	14119	12660	11631	498	700	536	413	553	443
Zm00001d003404	197	141	123	186	179	88	66	92	79	32	72	63
Zm00001d003415	432	512	376	240	261	225	102	124	81	72	91	51
Zm00001d003426	358	409	326	386	449	340	82	74	91	84	67	73
Zm00001d003428	369	339	271	172	148	130	15	18	14	13	6	9
Zm00001d003429	1261	1343	1159	4963	2384	1309	2194	2693	2616	964	1212	1140
Zm00001d003430	445	560	366	437	398	369	11	5	14	8	5	9
Zm00001d003432	1032	956	807	614	529	510	9	41	47	26	52	41
Zm00001d003434	3015	3243	2131	5299	4109	3469	111	123	108	350	383	351
Zm00001d003438	249	384	225	241	197	171	56	110	54	53	92	34
Zm00001d003446	2078	1965	2078	8011	7276	7410	132	148	139	319	329	341
Zm00001d003457	6173	4579	5635	5393	4937	5401	1508	2665	1408	1302	1341	1125
Zm00001d003459	85	86	79	298	313	203	15	28	18	17	40	30
Zm00001d003460	1154	1508	1002	1044	1127	1005	77	89	52	72	76	53
Zm00001d003462	784	825	716	877	811	693	156	152	95	98	91	62
Zm00001d003468	625	718	589	594	285	248	19	17	10	9	13	15
Zm00001d003470	1364	1372	1167	2805	2381	2636	228	323	273	319	354	426
Zm00001d003476	627	883	532	822	833	770	63	81	49	48	63	45
Zm00001d003477	2676	2172	2602	1892	2487	1941	255	228	225	141	145	135
Zm00001d003500	670	828	531	742	617	558	130	176	150	160	138	166
Zm00001d003502	190	269	176	93	100	101	82	58	61	39	19	32
Zm00001d003504	2065	4971	1667	989	812	3510	441	441	374	299	321	309
Zm00001d003509	4428	5023	3700	2072	1844	1673	630	901	646	503	609	555
Zm00001d003511	389	358	322	222	221	239	69	109	81	59	66	66
Zm00001d003512	814	1133	805	720	573	591	136	155	107	68	73	59
Zm00001d003518	928	1261	935	735	831	909	20	29	22	12	20	20
Zm00001d003520	768	938	634	712	913	710	10	5	17	3	8	13
Zm00001d003533	504	1118	394	271	390	973	74	57	37	63	30	44
Zm00001d003538	229	403	185	61	60	199	47	40	18	21	18	9
Zm00001d003545	364	500	302	1766	3094	3546	2	5	2	8	5	10
Zm00001d003546	413	485	306	455	505	424	14	14	19	6	9	8
Zm00001d003556	1029	1170	969	822	815	789	60	97	61	52	76	56
Zm00001d003559	277	198	139	420	505	289	10	25	9	26	50	19
Zm00001d003584	2738	2283	2460	3490	3292	2757	336	523	439	361	528	480
Zm00001d003589	615	716	542	616	526	390	144	176	170	137	139	168
Zm00001d003590	1960	1953	1697	1435	1417	1205	263	328	274	238	272	271
Zm00001d003602	4719	5350	3727	3877	4477	3956	982	1311	1298	348	482	389
Zm00001d003616	1027	1096	963	822	764	736	57	107	87	27	59	45
Zm00001d003618	133	116	105	103	100	92	6	18	18	4	5	20
Zm00001d003621	1437	1716	1342	998	793	808	55	120	45	50	93	50
Zm00001d003632	11681	10661	10866	19052	22259	21356	1204	1262	1347	1011	1093	1049
Zm00001d003640	440	590	388	287	270	293	29	44	15	16	48	16
Zm00001d003643	1395	1413	1301	2252	1654	1536	104	145	92	58	72	63
Zm00001d003649	168	169	147	269	292	193	7	20	25	33	29	73
Zm00001d003652	1068	1539	1018	954	1180	962	99	115	125	77	97	72
Zm00001d003653	5109	4974	4142	6243	6977	7254	228	371	265	106	167	113
Zm00001d003654	750	790	597	658	739	528	35	76	54	29	55	35
Zm00001d003655	928	987	812	732	785	582	48	52	46	40	41	29
Zm00001d003659	673	864	737	1033	793	874	37	62	32	64	60	50
Zm00001d003663	576	639	584	775	681	685	132	156	126	94	132	113
Zm00001d003667	206	234	189	104	126	130	19	43	24	31	62	18
Zm00001d003668	2376	4171	2305	1963	2612	3226	227	197	184	131	153	145
Zm00001d003669	946	1086	879	347	271	279	30	33	37	28	43	28
Zm00001d003670	302	387	226	385	218	232	5	9	7	17	8	32
Zm00001d003671	96	117	78	569	484	851	6	12	9	19	33	30
Zm00001d003672	1559	1937	1218	1210	879	1008	221	195	187	213	180	241
Zm00001d003673	1130	1240	999	2703	2446	1759	211	267	205	218	209	179
Zm00001d003678	244	287	252	176	216	171	12	4	7	5	4	3
Zm00001d003679	596	835	521	677	737	588	29	29	28	42	31	36
Zm00001d003680	738	1327	666	372	337	367	154	182	130	73	63	70
Zm00001d003685	1159	1292	1041	1206	1114	1035	45	70	75	49	48	32
Zm00001d003710	504	667	482	484	588	511	86	97	59	80	109	69
Zm00001d003712	50909	49368	57943	140086	177015	193547	6331	7101	5777	4098	4148	3635
Zm00001d003713	657	674	549	683	699	686	9	19	8	7	11	11
Zm00001d003715	454	640	425	978	935	797	137	143	152	113	127	98
Zm00001d003725	598	549	689	483	252	231	482	357	144	233	182	152
Zm00001d003729	751	808	443	513	563	548	37	38	28	28	28	29
Zm00001d003730	305	291	246	448	272	267	38	37	20	28	22	16
Zm00001d003742	449	555	347	67	59	107	40	77	28	24	33	22
Zm00001d003750	710	1208	634	321	435	468	49	97	20	35	59	20
Zm00001d003751	4412	4747	3612	3222	1573	1206	825	839	767	580	493	478
Zm00001d003756	467	437	405	454	431	549	75	90	80	82	110	96
Zm00001d003757	56	202	125	115	45	30	315	286	247	94	98	77
Zm00001d003760	5	24	10	177	135	61	24	16	21	63	60	52
Zm00001d003767	1660	1871	2138	10190	8392	4853	48	67	76	58	69	73
Zm00001d003778	287	295	209	200	163	169	8	23	19	4	10	12
Zm00001d003784	299	1394	245	33	112	1438	211	120	97	163	142	85
Zm00001d003785	7	17	5	63	74	72	4	9	6	14	19	19
Zm00001d003800	5023	6243	4621	1097	1188	1366	862	699	793	137	144	120
Zm00001d003807	415	677	340	329	335	327	20	47	54	13	22	31
Zm00001d003812	1197	1208	994	968	853	986	33	32	26	22	25	14
Zm00001d003817	1509	2151	1207	2654	2112	1526	212	213	237	159	191	204
Zm00001d003822	1971	2414	1644	1806	1624	1575	365	455	259	248	283	113
Zm00001d003823	1288	1844	1375	163	88	215	378	333	316	136	100	85
Zm00001d003830	773	1273	719	2919	2636	3740	172	133	152	207	174	210
Zm00001d003833	2632	3149	2173	4089	6771	8172	42	45	44	23	22	26
Zm00001d003836	745	873	695	679	582	614	24	27	35	8	12	12
Zm00001d003839	1030	979	968	767	805	913	93	202	114	65	92	84
Zm00001d003840	449	676	374	297	379	288	4	12	11	14	11	18
Zm00001d003847	657	639	646	1308	1246	1114	12	3	6	2	6	4
Zm00001d003848	516	990	416	672	599	441	108	145	113	110	135	117
Zm00001d003851	1165	1340	1031	1468	1430	1500	119	145	130	68	70	61
Zm00001d003857	22203	24135	14673	7885	6040	6706	1030	1406	1060	429	689	484
Zm00001d003861	3205	3297	3239	1026	266	424	676	702	705	373	414	399
Zm00001d003864	494	556	456	524	536	508	6	37	17	9	19	11
Zm00001d003872	371	446	301	92	82	73	59	126	57	26	54	25
Zm00001d003878	2307	2208	2133	2131	2163	2008	467	580	498	366	447	435
Zm00001d003879	6492	5942	5530	6345	6286	5493	163	192	165	123	146	128
Zm00001d003889	187	194	205	1040	951	637	13	20	9	27	28	29
Zm00001d003890	386	510	353	184	171	184	30	54	20	12	33	10
Zm00001d003894	1877	2086	1714	1558	1252	1189	101	137	78	62	62	50
Zm00001d003896	5044	8320	4368	3340	3090	2919	931	903	851	662	669	603
Zm00001d003905	338	482	342	505	454	513	38	31	18	35	26	5
Zm00001d003911	7495	7919	7231	10995	11194	8703	750	884	712	682	763	675
Zm00001d003947	4464	3817	3846	4485	3934	3040	511	632	625	581	645	728
Zm00001d003948	1822	2050	1465	1373	1337	1396	55	66	57	37	33	41
Zm00001d003949	663	347	442	804	723	1223	15	23	8	24	27	16
Zm00001d003950	2160	2073	1957	1683	2028	2068	143	229	166	154	247	179
Zm00001d003957	494	593	418	307	385	342	80	109	78	38	54	33
Zm00001d003958	1472	1472	1167	1696	1690	1442	30	83	35	35	72	39
Zm00001d003975	435	411	307	500	459	391	26	38	27	26	25	18
Zm00001d003984	746	821	597	918	731	701	16	20	16	20	10	13
Zm00001d003996	960	1107	930	1080	1257	822	22	33	19	19	9	13
Zm00001d004006	7395	7323	7528	4701	5950	6443	908	1337	1026	304	438	401
Zm00001d004009	2051	2822	1723	1428	1257	1144	11	14	7	15	30	7
Zm00001d004019	3450	3541	2674	3831	3582	3727	47	59	60	35	56	41
Zm00001d004075	1542	1941	1610	4231	2405	2459	48	66	52	106	126	107
Zm00001d004086	499	604	432	360	431	468	16	10	10	16	14	14
Zm00001d004090	498	530	409	264	181	172	36	37	39	21	26	26
Zm00001d004091	762	841	685	794	752	523	10	10	8	6	9	14
Zm00001d004125	7856	8256	8376	9979	8063	6050	83	116	73	69	114	85
Zm00001d004136	831	1014	726	682	551	538	138	146	123	114	127	128
Zm00001d004138	9512	18662	9126	1292	1343	3434	466	434	414	324	343	233
Zm00001d004139	2541	2725	2172	2200	1916	1588	87	78	57	53	48	56
Zm00001d004140	828	1032	758	717	792	720	37	48	41	28	37	34
Zm00001d004143	536	534	417	517	379	285	17	9	9	13	12	9
Zm00001d004153	148	266	151	210	245	198	17	14	17	28	15	18
Zm00001d004159	584	838	582	738	673	750	27	48	28	18	43	29
Zm00001d004167	868	795	736	669	708	626	10	34	17	5	24	11
Zm00001d004169	1793	2279	1584	1142	1306	1204	88	114	79	43	50	35
Zm00001d004172	2686	3255	2377	2085	2251	1987	191	227	190	85	108	79
Zm00001d004176	1141	930	1041	1290	1106	1024	117	149	157	77	87	67
Zm00001d004193	1612	1735	1252	1737	1039	1507	67	122	65	52	113	62
Zm00001d004196	422	378	368	379	321	235	11	14	22	6	7	11
Zm00001d004198	7002	6265	6063	4359	4690	5349	142	148	119	41	53	48
Zm00001d004200	394	454	357	436	439	502	34	53	23	20	38	23
Zm00001d004260	468	507	388	174	175	128	6	55	29	4	17	6
Zm00001d004270	1279	1108	961	467	615	506	28	73	48	20	43	35
Zm00001d004340	1603	1553	1570	2607	3454	2679	14	14	8	27	21	15
Zm00001d004348	3	1	0	17	2266	64	4	55	10	13	116	63
Zm00001d004372	787	817	647	640	595	624	43	60	52	43	52	59
Zm00001d004386	1006	1002	847	955	1124	946	90	105	96	68	72	52
Zm00001d004407	600	743	567	238	285	237	84	74	80	89	70	84
Zm00001d004409	149	165	120	33	39	24	9	8	13	2	9	12
Zm00001d004410	474	757	402	612	529	493	101	103	83	156	167	130
Zm00001d004413	2906	3761	2698	13010	9006	8509	273	310	297	530	595	553
Zm00001d004443	998	706	853	82	123	539	70	68	59	14	17	17
Zm00001d004448	4600	7571	4345	6557	5554	3852	535	535	530	718	678	623
Zm00001d004458	328	355	282	272	277	211	78	41	82	49	52	50
Zm00001d004463	1693	2039	1649	1982	2323	1971	178	187	164	141	163	162
Zm00001d004466	2099	2227	1810	1914	2044	1767	26	37	34	29	16	21
Zm00001d004472	1773	1794	1428	2092	2061	2467	16	20	19	2	6	9
Zm00001d004473	3234	4804	2807	3402	2030	2052	48	31	30	17	20	8
Zm00001d004477	430	806	415	435	438	476	10	10	6	7	6	3
Zm00001d004478	332	287	376	813	906	748	90	192	126	102	145	121
Zm00001d004481	103	128	109	165	196	191	4	12	4	5	10	5
Zm00001d004482	208	211	234	427	359	405	25	41	51	49	33	56
Zm00001d004498	1252	1497	1176	940	985	933	177	194	155	86	97	104
Zm00001d004513	970	835	825	617	468	349	20	58	34	11	14	13
Zm00001d004541	575	605	470	538	512	459	15	22	19	17	21	11
Zm00001d004543	1521	1610	1476	1432	1375	1395	365	353	343	409	463	467
Zm00001d004546	194	249	140	144	212	252	18	13	12	9	2	3
