gid	parA_rep1	parA_rep2	parA_rep3	parB_rep1	parB_rep2	parB_rep3	hybA_rep1	hybA_rep2	hybA_rep3	hybB_rep1	hybB_rep2	hybB_rep3
Zm00001d001771	2487	3031	2555	2713	1365	1152	818	850	708	563	533	486
Zm00001d001780	1100	1192	842	857	803	716	100	137	217	56	60	60
Zm00001d001781	504	323	425	747	1133	1253	41	26	47	29	26	46
Zm00001d001784	834	712	728	596	527	495	40	36	47	27	19	25
Zm00001d001785	873	1974	906	1464	835	790	106	139	80	119	101	79
Zm00001d001786	2020	2229	2024	2052	1801	1364	175	302	282	107	171	125
Zm00001d001789	1321	1852	1078	1745	1603	1190	40	48	38	55	61	41
Zm00001d001790	813	1195	849	973	974	923	61	114	72	36	51	33
Zm00001d001797	424	454	333	260	251	206	15	24	5	19	19	3
Zm00001d001800	2001	1893	1732	3560	3074	2745	85	67	76	94	124	123
Zm00001d001803	1561	1908	1254	1516	1171	849	87	124	90	74	73	66
Zm00001d001804	6211	7265	5545	2471	2222	1628	315	341	314	141	142	148
Zm00001d001806	594	560	670	690	954	624	119	148	99	93	99	82
Zm00001d001807	271	256	210	120	137	144	10	21	11	9	9	8
Zm00001d001808	1047	1501	999	901	793	883	12	13	11	12	13	13
Zm00001d001809	3260	3578	2922	1608	1871	1663	64	47	46	22	24	21
Zm00001d001811	709	702	561	688	1026	789	32	47	48	31	29	27
Zm00001d001812	422	425	384	1183	818	780	128	156	176	188	206	196
Zm00001d001813	786	711	701	1199	1503	1350	75	87	94	109	137	108
Zm00001d001814	1945	2609	1594	1326	1370	1418	201	282	203	112	144	121
Zm00001d001825	1058	1209	935	749	930	795	51	51	70	45	30	17
Zm00001d001826	141	146	113	60	82	107	3	9	15	7	14	22
Zm00001d001827	1074	1235	988	855	831	739	187	246	235	143	181	180
Zm00001d001830	380	539	317	468	460	486	27	34	23	27	24	20
Zm00001d001831	2556	3150	2393	1513	1010	1206	209	292	345	81	146	133
Zm00001d001837	969	1173	942	880	1002	795	39	47	33	20	13	14
Zm00001d001843	450	449	353	461	516	420	4	1	5	4	11	4
Zm00001d001844	475	477	409	717	559	386	8	7	12	9	3	7
Zm00001d001846	2193	2171	1895	1302	1258	1208	141	176	222	120	111	150
Zm00001d001847	762	923	686	744	735	618	117	145	107	94	113	91
Zm00001d001848	2823	3288	2474	1716	1777	1801	335	393	363	234	259	273
Zm00001d001852	97	510	168	89	22	36	99	151	105	56	75	74
Zm00001d001855	230	250	172	208	244	234	2	28	12	13	30	14
Zm00001d001856	1027	1155	904	1094	1239	1459	105	37	115	59	96	156
Zm00001d001857	1649	1362	1520	2784	1856	885	836	1288	1095	651	1011	790
Zm00001d001859	1673	1529	1365	1080	940	856	70	113	63	41	52	37
Zm00001d001862	1239	2735	1304	49	89	307	81	95	78	16	21	13
Zm00001d001866	993	1112	907	912	894	556	155	146	95	135	72	93
Zm00001d001868	2549	2519	2309	2236	2378	2807	232	306	260	203	290	233
Zm00001d001869	368	381	295	176	143	131	22	48	55	20	34	20
Zm00001d001870	534	697	451	480	429	419	60	54	59	42	38	37
Zm00001d001871	371	1082	317	65	75	69	22	17	6	11	12	2
Zm00001d001877	590	572	578	191	156	150	14	7	8	7	2	9
Zm00001d001935	717	866	3079	2250	671	2556	137	127	112	52	33	16
Zm00001d001973	386	543	338	1591	1303	1677	107	126	123	133	182	127
Zm00001d002003	1117	1414	1014	1963	980	1521	28	36	33	9	16	10
Zm00001d002020	1051	728	907	1751	1621	1495	23	25	31	20	9	11
Zm00001d002145	545	542	489	535	544	427	6	13	9	9	6	17
Zm00001d002302	767	1515	774	1013	1116	804	14	10	10	6	12	8
Zm00001d002325	6734	7533	7366	12880	13334	9273	158	151	105	106	116	106
Zm00001d002326	4492	4118	4150	5615	4239	3452	361	548	532	399	723	683
Zm00001d002332	1052	1212	1016	1929	1530	1209	77	73	101	50	86	73
Zm00001d002333	106	161	113	870	767	578	9	17	8	18	38	44
Zm00001d002334	3309	3278	2881	8072	7656	5964	591	598	616	923	974	1059
Zm00001d002338	1859	1928	1950	1866	1406	1065	145	189	165	106	117	95
Zm00001d002339	5868	8088	4961	3732	3148	2938	552	551	436	623	533	501
Zm00001d002340	1241	1491	1036	1191	1246	1029	118	116	132	87	94	94
Zm00001d002344	825	1009	721	914	851	788	44	49	23	38	36	36
Zm00001d002349	1939	2145	1632	2600	2548	1997	355	382	408	251	296	305
Zm00001d002352	271	503	240	133	144	182	22	48	25	10	15	17
Zm00001d002353	19537	19208	17549	15267	11867	11647	3551	3949	3258	2523	2639	2360
Zm00001d002366	3057	3697	2592	3134	3398	3397	285	269	229	171	191	145
Zm00001d002369	828	901	726	419	544	895	14	14	21	5	8	6
Zm00001d002371	2094	2601	1754	1913	1950	2002	102	100	120	63	70	85
Zm00001d002377	1865	2417	2013	905	1041	1049	19	18	24	4	5	13
Zm00001d002382	476	602	443	308	332	327	8	12	9	4	5	5
Zm00001d002383	21	30	40	110	123	81	16	10	9	25	13	10
Zm00001d002396	3457	3062	3221	4486	5434	5225	49	31	35	36	29	33
Zm00001d002462	1314	1219	1160	1458	1817	1313	81	133	78	49	74	40
Zm00001d002485	1786	2279	1419	1311	1202	1083	80	252	177	28	53	41
Zm00001d002690	33071	28645	29427	60415	68458	60716	1901	2544	1909	2944	3646	2842
Zm00001d002694	305	443	267	302	378	370	12	15	14	14	17	16
Zm00001d002695	763	468	637	96	120	138	23	44	21	15	15	8
Zm00001d002703	863	1110	786	914	898	895	14	19	16	18	6	10
Zm00001d002704	5232	6163	4897	3917	3409	4261	102	114	197	10	9	50
Zm00001d002711	691	757	572	992	1016	856	132	159	208	194	242	240
Zm00001d002713	173	252	129	330	295	295	10	16	11	16	15	19
Zm00001d002718	135	168	127	818	662	699	18	18	22	111	49	100
Zm00001d002725	938	1125	803	851	757	861	71	73	109	34	41	31
Zm00001d002727	509	315	498	331	558	285	48	57	62	46	54	44
Zm00001d002734	663	706	589	1068	877	806	151	143	109	173	217	197
Zm00001d002737	1335	1416	1152	852	788	879	9	16	5	8	20	4
Zm00001d002739	1251	1445	1174	1064	916	868	101	123	120	45	65	54
Zm00001d002742	612	779	543	491	478	500	12	20	23	7	17	16
Zm00001d002751	551	451	494	312	296	229	80	59	71	28	29	27
Zm00001d002754	356	244	342	449	384	277	9	10	7	2	6	5
Zm00001d002758	627	528	468	839	916	722	14	17	28	2	4	5
Zm00001d002759	4251	2933	4055	4413	6443	7934	185	173	156	75	69	70
Zm00001d002762	356	759	471	330	347	455	43	38	25	23	20	16
Zm00001d002770	526	697	470	468	465	431	8	5	4	2	4	5
Zm00001d002801	2292	3341	2114	953	632	678	505	665	389	279	331	212
Zm00001d002806	329	188	307	107	114	117	20	22	34	25	33	68
Zm00001d002810	1583	1630	1426	946	1066	1044	15	12	16	19	22	11
Zm00001d002811	2201	2635	1801	1363	1562	1593	100	112	119	68	64	64
Zm00001d002812	652	791	620	701	528	474	32	44	52	29	58	48
Zm00001d002815	83	64	74	215	189	151	5	4	21	13	11	11
Zm00001d002819	1122	1068	1063	1586	1533	1461	78	127	111	113	132	138
Zm00001d002822	687	763	705	997	836	696	121	237	202	132	206	134
Zm00001d002827	444	543	372	397	351	347	25	55	24	16	45	17
Zm00001d002836	279	302	236	162	162	150	8	12	22	4	8	13
Zm00001d002837	3238	2952	2728	2213	1952	1775	674	741	740	273	311	315
Zm00001d002842	60770	60552	53470	35536	50817	63289	3493	4324	4113	1058	1312	1299
Zm00001d002850	2817	3136	2730	1631	1686	2301	51	67	47	38	29	33
Zm00001d002853	1370	1389	1412	1992	1470	1229	192	245	262	120	181	203
Zm00001d002854	1845	1411	1450	2310	1716	1493	222	279	271	128	158	146
Zm00001d002856	442	718	509	352	366	477	44	58	23	21	38	22
Zm00001d002857	773	1058	647	847	988	914	45	39	55	37	22	29
Zm00001d002859	842	784	776	982	656	536	38	43	39	32	47	22
Zm00001d002868	238	215	208	305	308	322	22	32	37	22	12	19
Zm00001d002871	16136	13517	14437	32977	33234	27747	796	832	766	895	1067	893
Zm00001d002896	1385	1865	1383	1494	1500	1418	129	121	154	50	54	75
Zm00001d002899	27970	17734	18227	6350	5357	5451	1519	1661	1594	403	362	359
Zm00001d002905	759	1167	573	428	226	196	8	14	9	9	12	8
Zm00001d002919	1758	1806	1413	1297	1308	1204	28	35	35	17	21	31
Zm00001d002928	4360	4646	3920	3357	3820	3688	62	54	55	56	51	46
Zm00001d002936	3767	3801	3485	3457	3131	2714	239	270	297	221	230	245
Zm00001d002940	55	39	38	5	6	3	236	266	236	175	242	198
Zm00001d002941	2410	2538	2301	2555	2040	1932	256	285	254	183	249	204
Zm00001d002942	3351	4570	3253	3438	3553	3112	1163	1027	910	302	343	326
Zm00001d002943	5833	6500	5642	6583	5481	4741	250	332	196	143	187	122
Zm00001d002944	1965	2592	1862	2824	2361	2273	24	18	15	13	12	16
Zm00001d002945	3347	3739	2905	2289	2255	2187	144	188	131	44	51	54
Zm00001d002946	1138	1270	968	972	928	863	47	54	47	36	44	35
Zm00001d002953	511	644	393	713	558	605	100	160	122	93	99	95
Zm00001d002954	178	321	158	144	157	159	9	4	5	8	12	8
Zm00001d002956	879	1010	854	251	304	346	20	29	33	18	17	19
Zm00001d002961	369	439	325	348	357	394	48	54	43	41	29	28
Zm00001d002966	454	1287	605	608	299	352	120	190	116	33	54	28
Zm00001d002967	1323	1218	1099	935	1176	862	116	177	131	73	104	60
Zm00001d002969	662	766	607	625	606	543	68	70	32	23	14	15
Zm00001d002980	805	833	678	656	551	533	49	59	40	26	28	28
Zm00001d002992	257	335	217	305	411	320	4	24	20	6	23	6
Zm00001d002993	48	46	25	61	49	31	4	3	22	4	6	14
Zm00001d003002	135	191	146	439	543	429	7	4	9	21	17	21
Zm00001d003004	273	317	286	113	157	130	7	7	2	2	3	7
Zm00001d003009	901	938	1163	1644	2460	2078	11	18	20	17	24	18
Zm00001d003014	1439	1594	1223	1234	1171	1199	140	165	155	204	193	186
Zm00001d003015	404	199	276	1502	912	751	726	687	659	1305	1361	1297
Zm00001d003016	2679	1385	2202	9326	6977	5283	1280	1339	1245	770	809	822
Zm00001d003017	212	396	224	284	316	255	11	16	10	24	22	12
Zm00001d003025	3934	2760	4125	3136	3026	2719	268	443	156	188	347	116
Zm00001d003031	1550	2407	1363	1685	1498	1293	386	400	420	374	432	345
Zm00001d003033	697	727	582	609	501	409	19	24	19	23	15	26
Zm00001d003034	1085	758	749	1236	1534	999	116	129	143	97	113	118
Zm00001d003035	1858	2389	1699	1765	1685	2441	402	363	418	447	536	359
Zm00001d003044	1386	635	1069	2187	1845	619	2171	2264	2074	5666	5907	5195
Zm00001d003047	159	224	117	174	97	108	14	12	12	10	17	10
Zm00001d003048	198	344	126	39	46	45	43	7	33	18	4	14
Zm00001d003049	1232	1602	1243	1154	1058	839	140	125	103	62	87	57
Zm00001d003058	427	563	397	235	185	159	35	75	17	9	12	11
Zm00001d003059	6837	6961	5521	433	374	372	162	433	285	41	98	60
Zm00001d003062	162	231	141	99	45	34	14	14	21	22	21	32
Zm00001d003081	15677	12875	12207	13866	14476	12821	163	212	229	99	129	117
Zm00001d003084	2010	2235	1615	1836	1772	1585	20	21	26	24	30	25
Zm00001d003085	233	669	303	1005	435	488	92	70	43	154	268	144
Zm00001d003087	2094	2274	1726	1744	1437	1000	224	280	226	182	274	234
Zm00001d003108	753	1889	823	264	247	441	12	24	20	3	6	10
Zm00001d003110	614	754	614	272	285	609	9	5	5	6	3	10
Zm00001d003112	2801	3481	3143	3181	5324	5594	132	204	135	109	169	130
Zm00001d003114	602	871	579	521	541	665	47	76	49	22	33	11
Zm00001d003116	1617	1283	1262	843	570	550	102	138	75	83	74	50
Zm00001d003119	1562	1855	1276	1154	1059	1061	57	92	83	79	66	90
Zm00001d003123	789	896	768	791	676	626	46	35	38	33	33	33
Zm00001d003124	346	393	298	211	260	183	2	14	7	6	10	4
Zm00001d003125	760	803	685	692	688	607	16	5	15	23	6	22
Zm00001d003127	4943	8709	4406	3799	3114	3018	7	11	3	6	12	11
Zm00001d003129	626	711	506	1062	1384	974	23	33	26	21	13	22
Zm00001d003147	2915	3281	2557	2120	2269	2356	535	521	481	618	766	659
Zm00001d003148	675	889	598	913	940	763	145	223	174	193	287	234
Zm00001d003157	93510	160730	96525	60470	78220	74433	5156	7787	5508	2648	4206	2842
Zm00001d003159	2120	2646	1886	1773	1408	1151	611	723	469	285	534	270
Zm00001d003160	603	546	585	427	351	306	31	30	45	24	24	20
Zm00001d003161	327	245	248	367	197	207	9	4	23	13	8	17
Zm00001d003162	820	694	747	1036	1074	624	52	98	71	20	32	34
Zm00001d003176	1364	1255	1292	980	1019	764	15	34	21	18	24	14
Zm00001d003179	726	726	647	747	812	758	44	56	52	40	45	41
Zm00001d003181	2491	3606	1952	1191	869	567	123	123	116	99	83	68
Zm00001d003190	40672	41364	36994	1035	1901	4277	186	368	363	142	197	218
Zm00001d003196	391	464	340	236	256	250	12	45	18	18	24	11
Zm00001d003197	999	2457	827	91	125	449	36	67	20	16	19	9
Zm00001d003198	1330	1198	1273	746	826	788	77	73	94	33	52	38
Zm00001d003200	1053	1446	894	941	1122	1068	36	56	30	23	18	21
Zm00001d003203	1550	1864	1287	828	1022	813	15	53	36	16	19	13
Zm00001d003207	1460	1770	1429	1675	1760	1509	104	106	87	75	75	57
Zm00001d003209	339	336	279	571	334	307	10	11	9	3	10	6
Zm00001d003214	783	1048	740	538	537	422	109	143	135	56	61	56
Zm00001d003242	1249	1356	1032	1418	1443	1391	59	69	69	61	65	52
Zm00001d003246	262	278	225	262	276	194	9	19	8	15	12	11
Zm00001d003248	747	626	692	754	792	899	171	186	157	155	151	154
Zm00001d003250	527	675	495	566	545	499	17	131	29	32	85	25
Zm00001d003252	5766	5063	4908	2969	3853	3152	1392	1563	1326	552	522	516
